0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:36:23 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:36:23 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 200 3433
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:36:24 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:36:39 +0800] "POST /o2o/shopadmin/removeproductcategory HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:36:39 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:36:44 +0800] "POST /o2o/shopadmin/removeproductcategory HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:36:44 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:36:58 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:36:58 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:36:58 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:37:13 +0800] "POST /o2o/shopadmin/addproductcategorys HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:37:13 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:37:32 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:37:32 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:37:32 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:39:43 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:39:43 +0800] "GET /o2o/resources/css/shop/productcategorymanagement.css HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:39:43 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 200 3473
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:39:43 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:39:56 +0800] "POST /o2o/shopadmin/addproductcategorys HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:39:56 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:40:26 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:40:26 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 200 3441
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:40:45 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:40:45 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 200 3437
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:40:45 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:40:53 +0800] "POST /o2o/shopadmin/addproductcategorys HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:40:53 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:41:08 +0800] "POST /o2o/shopadmin/removeproductcategory HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:41:08 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:41:11 +0800] "POST /o2o/shopadmin/removeproductcategory HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:41:11 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1445
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:41:14 +0800] "POST /o2o/shopadmin/removeproductcategory HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:41:14 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:41:16 +0800] "POST /o2o/shopadmin/removeproductcategory HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:41:19 +0800] "POST /o2o/shopadmin/removeproductcategory HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:41:19 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:41:22 +0800] "POST /o2o/shopadmin/removeproductcategory HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:41:23 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:41:29 +0800] "POST /o2o/shopadmin/removeproductcategory HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:41:29 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:47:16 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:47:16 +0800] "GET /o2o/resources/css/shop/productcategorymanagement.css HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:47:16 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:47:16 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:47:23 +0800] "POST /o2o/shopadmin/removeproductcategory HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:47:23 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:47:34 +0800] "POST /o2o/shopadmin/removeproductcategory HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:47:55 +0800] "POST /o2o/shopadmin/removeproductcategory HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:48:15 +0800] "POST /o2o/shopadmin/removeproductcategory HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:48:44 +0800] "POST /o2o/shopadmin/removeproductcategory HTTP/1.1" 200 73
